Country,Medal_Type,Count
Australia,Bronze,231
Australia,Gold,186
Australia,Silver,196
East Germany,Gold,192
East Germany,Silver,165
East Germany,Bronze,162
France,Bronze,362
France,Gold,289
France,Silver,324
Germany,Gold,364
Germany,Silver,383
Germany,Bronze,369
Great Britain,Silver,350
Great Britain,Gold,318
Great Britain,Bronze,361
Hungary,Silver,165
Hungary,Gold,190
Hungary,Bronze,189
Italy,Gold,276
Italy,Silver,251
Italy,Bronze,286
Japan,Gold,206
Japan,Bronze,223
Japan,Silver,191
Netherlands,Silver,162
Netherlands,Bronze,182
Netherlands,Gold,166
Norway,Silver,188
Norway,Gold,211
Norway,Bronze,177
People's Republic of China,Silver,258
People's Republic of China,Bronze,221
People's Republic of China,Gold,325
Russian Federation,Bronze,187
Russian Federation,Gold,193
Russian Federation,Silver,167
Soviet Union,Silver,376
Soviet Union,Bronze,355
Soviet Union,Gold,473
Sweden,Silver,232
Sweden,Gold,218
Sweden,Bronze,245
United States,Bronze,882
United States,Silver,1006
United States,Gold,1224
