"Area code,Area name,Time period,""Value (%)"""
S12000005,Clackmannanshire,Jul 2025,92.92
S12000006,Dumfries and Galloway,Jul 2025,39.08
S12000008,East Ayrshire,Jul 2025,51.29
S12000010,East Lothian,Jul 2025,75
S12000011,East Renfrewshire,Jul 2025,77.82
S12000013,Na h-Eileanan Siar,Jul 2025,13.76
S12000014,Falkirk,Jul 2025,84.67
S12000017,Highland,Jul 2025,22.63
S12000018,Inverclyde,Jul 2025,81.19
S12000019,Midlothian,Jul 2025,82.38
S12000020,Moray,Jul 2025,51
S12000021,North Ayrshire,Jul 2025,50.95
S12000023,Orkney Islands,Jul 2025,16.35
S12000026,Scottish Borders,Jul 2025,30.8
S12000027,Shetland Islands,Jul 2025,15.35
S12000028,South Ayrshire,Jul 2025,42.32
S12000029,South Lanarkshire,Jul 2025,58.55
S12000030,Stirling,Jul 2025,54.15
S12000033,Aberdeen City,Jul 2025,98.79
S12000034,Aberdeenshire,Jul 2025,48.69
S12000035,Argyll and Bute,Jul 2025,29.05
S12000036,City of Edinburgh,Jul 2025,99.75
S12000038,Renfrewshire,Jul 2025,93.67
S12000039,West Dunbartonshire,Jul 2025,90.85
S12000040,West Lothian,Jul 2025,88.55
S12000041,Angus,Jul 2025,58.28
S12000042,Dundee City,Jul 2025,100
S12000045,East Dunbartonshire,Jul 2025,94.32
S12000047,Fife,Jul 2025,91.98
S12000048,Perth and Kinross,Jul 2025,39.63
S12000049,Glasgow City,Jul 2025,100
S12000050,North Lanarkshire,Jul 2025,86.61
