year;retirement_age; 
1960;65;
1961;65;
1962;65;
1963;65;
1964;65;
1965;65;
1966;65;
1967;65;
1968;65;
1969;65;
1970;65;
1971;65;
1972;65;
1973;65;
1974;65;
1975;65;
1976;65;
1977;65;
1978;65;
1979;65;
1980;65;
1981;65;
1982;65;
1983;65;
1984;65;
1985;65;
1986;65;
1987;65;
1988;65;
1989;65;
1990;65;
1991;65;
1992;65;
1993;65;
1994;65;
1995;65;
1996;65;
1997;65;
1998;65;
1999;65;
2000;65;
2001;65;
2002;65;
2003;65;
2004;65;
2005;65;
2006;65;
2007;65;
2008;65;
2009;65;
2010;65;
2011;65;
2012;65.1;
2013;65.2;
2014;65.3;
2015;65.3;
2016;65.4;
2017;65.5;
2018;65.6;
2019;65.7;
2020;65.8;
2021;65.8;
2022;65.9;
