Jahr,ID,Kategorie,Wert_Euro,Relativer_Wert_Prozent
2014,0,Total Federal Budget,296500000000.0,100.0
2014,14,Defense,32435376000.0,10.93941854974705
2014,17,Education & Family,7959508000.0,2.6844883642495785
2014,98,Other Labour & Social Expenses,33550830000.0,11.31562563237774
2014,99,Other Federal Budget,134125806000.0,45.23635952782462
2014,1102,Subsidies Pension Insurance,88428480000.0,29.824107925801012
2015,0,Total Federal Budget,306900000000.0,100.0
2015,14,Defense,32974183000.0,10.744275985663082
2015,17,Education & Family,8835562000.0,2.878971000325839
2015,98,Other Labour & Social Expenses,35943656000.0,11.711846203975236
2015,99,Other Federal Budget,138780337000.0,45.22005115672857
2015,1102,Subsidies Pension Insurance,90366262000.0,29.44485565330727
2016,0,Total Federal Budget,316900000000.0,100.0
2016,14,Defense,34287847000.0,10.819768696749763
2016,17,Education & Family,9103673000.0,2.872727358788261
2016,98,Other Labour & Social Expenses,36617812000.0,11.555005364468286
2016,99,Other Federal Budget,143619496000.0,45.32013127169454
2016,1102,Subsidies Pension Insurance,93271172000.0,29.432367308299145
2017,0,Total Federal Budget,329100000000.0,100.0
2017,14,Defense,37004839000.0,11.244253722272864
2017,17,Education & Family,9523221000.0,2.8937164995442117
2017,98,Other Labour & Social Expenses,39330170000.0,11.950826496505622
2017,99,Other Federal Budget,144989521000.0,44.05637222728654
2017,1102,Subsidies Pension Insurance,98252249000.0,29.85483105439076
2018,0,Total Federal Budget,343600000000.0,100.0
2018,14,Defense,38519574000.0,11.21058614668219
2018,17,Education & Family,10226146000.0,2.9761775320139696
2018,98,Other Labour & Social Expenses,39037233000.0,11.361243597206053
2018,99,Other Federal Budget,155674521000.0,45.30690366705471
2018,1102,Subsidies Pension Insurance,100142526000.0,29.145089057043073
2019,0,Total Federal Budget,356400000000.0,100.0
2019,14,Defense,43227814000.0,12.129016273849608
2019,17,Education & Family,10448322000.0,2.931627946127946
2019,98,Other Labour & Social Expenses,39931302000.0,11.204069023569023
2019,99,Other Federal Budget,157463613000.0,44.181709595959596
2019,1102,Subsidies Pension Insurance,105328949000.0,29.553577160493827
2020,0,Total Federal Budget,508529758000.0,100.0
2020,14,Defense,45645981000.0,8.976068810510004
2020,17,Education & Family,13628263000.0,2.6799342193067885
2020,98,Other Labour & Social Expenses,60780426000.0,11.952186680095917
2020,99,Other Federal Budget,278573128000.0,54.78010354705732
2020,1102,Subsidies Pension Insurance,109901960000.0,21.611706743029973
2021,0,Total Federal Budget,572725714000.0,100.0
2021,14,Defense,46930012000.0,8.194151380463424
2021,17,Education & Family,13206591000.0,2.3059189900455563
2021,98,Other Labour & Social Expenses,50251075000.0,8.774021101486635
2021,99,Other Federal Budget,347668631000.0,60.70421189435192
2021,1102,Subsidies Pension Insurance,114669405000.0,20.021696633652457
2022,0,Total Federal Budget,495791475000.0,100.0
2022,14,Defense,50404828000.0,10.166537857473246
2022,17,Education & Family,12599961000.0,2.5413831490345813
2022,98,Other Labour & Social Expenses,44295820000.0,8.934364996897132
2022,99,Other Federal Budget,271705706000.0,54.80241587453677
2022,1102,Subsidies Pension Insurance,116785160000.0,23.55529812205827
2023,0,Total Federal Budget,461211782000.0,100.0
2023,14,Defense,50117445000.0,10.866471099821123
2023,17,Education & Family,13569256000.0,2.942087893149269
2023,98,Other Labour & Social Expenses,45179870000.0,9.795905430707318
2023,99,Other Federal Budget,231295688000.0,50.14956187741102
2023,1102,Subsidies Pension Insurance,121049523000.0,26.245973698911275
2024,0,Total Federal Budget,476807656000.0,100.0
2024,14,Defense,51951938000.0,10.895785196871923
2024,17,Education & Family,13873295000.0,2.909620855584584
2024,98,Other Labour & Social Expenses,48374468000.0,10.145488939045055
2024,99,Other Federal Budget,235306925000.0,49.350492182533245
2024,1102,Subsidies Pension Insurance,127301030000.0,26.698612825965196
2025,0,Total Federal Budget,502546135000.0,100.0
2025,14,Defense,62307220000.0,12.39830846574912
2025,17,Education & Family,14198983000.0,2.825408855248683
2025,98,Other Labour & Social Expenses,55918513000.0,11.127040704432043
2025,99,Other Federal Budget,235698610000.0,46.90089000485498
2025,1102,Subsidies Pension Insurance,134422809000.0,26.748351969715177
2026,0,Total Federal Budget,524540138000.0,100.0
2026,14,Defense,82687312000.0,15.763772113851084
2026,17,Education & Family,16664014000.0,3.176880622241343
2026,98,Other Labour & Social Expenses,57331406000.0,10.929841559617694
2026,99,Other Federal Budget,227847772000.0,43.43762383346916
2026,1102,Subsidies Pension Insurance,140009634000.0,26.691881870820723
