year,total_demand,supply_trend,supply_sq,difference_trend,difference_sq
2024,1.69,1.69,1.69,0.0,0.0
2025,1.706,1.694,1.654,0.012,0.052000000000000005
2026,1.722,1.698,1.6179999999999999,0.024,0.10400000000000001
2027,1.738,1.702,1.582,0.036000000000000004,0.15600000000000003
2028,1.754,1.706,1.546,0.048,0.20800000000000002
2029,1.77,1.71,1.51,0.06,0.26
2030,1.782,1.716,1.504,0.066,0.278
2031,1.794,1.722,1.498,0.072,0.296
2032,1.806,1.728,1.492,0.078,0.314
2033,1.818,1.734,1.486,0.08399999999999999,0.33199999999999996
2034,1.83,1.74,1.48,0.09,0.35
2035,1.848,1.75,1.48,0.098,0.368
2036,1.866,1.76,1.48,0.106,0.386
2037,1.884,1.77,1.48,0.114,0.404
2038,1.902,1.78,1.48,0.122,0.422
2039,1.92,1.79,1.48,0.13,0.44
2040,1.944,1.8,1.478,0.14400000000000002,0.46599999999999997
2041,1.968,1.81,1.476,0.158,0.492
2042,1.992,1.82,1.474,0.17200000000000001,0.518
2043,2.016,1.83,1.472,0.186,0.5439999999999999
2044,2.04,1.84,1.47,0.2,0.57
2045,2.062,1.846,1.468,0.21600000000000003,0.594
2046,2.084,1.852,1.466,0.232,0.618
2047,2.106,1.858,1.464,0.24800000000000003,0.6419999999999999
2048,2.128,1.864,1.462,0.264,0.6659999999999999
2049,2.15,1.87,1.46,0.28,0.69
