year,total_demand,supply_trend,supply_sq,difference_trend,difference_sq,supply_sq_plus_0pct,supply_trend_plus_0pct,supply_sq_plus_5pct,supply_trend_plus_5pct,supply_sq_plus_10pct,supply_trend_plus_10pct,supply_sq_plus_15pct,supply_trend_plus_15pct,supply_sq_plus_20pct,supply_trend_plus_20pct,supply_sq_plus_25pct,supply_trend_plus_25pct,supply_sq_plus_30pct,supply_trend_plus_30pct,supply_sq_plus_35pct,supply_trend_plus_35pct,supply_sq_plus_40pct,supply_trend_plus_40pct,supply_sq_plus_45pct,supply_trend_plus_45pct,supply_sq_plus_50pct,supply_trend_plus_50pct
2024,1.69,1.69,1.69,0.0,0.0,1.69,1.69,1.7296449999999999,1.7296449999999999,1.76929,1.76929,1.808935,1.808935,1.84858,1.84858,1.888225,1.888225,1.92787,1.92787,1.967515,1.967515,2.00716,2.00716,2.046805,2.046805,2.08645,2.08645
2025,1.706,1.694,1.654,0.012,0.052,1.654,1.694,1.69389,1.73389,1.7337799999999999,1.77378,1.7736699999999999,1.81367,1.8135599999999998,1.8535599999999999,1.8534499999999998,1.8934499999999999,1.8933399999999998,1.9333399999999998,1.93323,1.97323,1.97312,2.01312,2.01301,2.05301,2.0528999999999997,2.0928999999999998
2026,1.722,1.698,1.618,0.024,0.104,1.618,1.698,1.657955,1.737955,1.69791,1.7779099999999999,1.7378650000000002,1.8178649999999998,1.7778200000000002,1.85782,1.8177750000000001,1.897775,1.85773,1.93773,1.897685,1.977685,1.93764,2.01764,1.977595,2.057595,2.01755,2.09755
2027,1.738,1.702,1.582,0.036,0.156,1.582,1.702,1.620915,1.740915,1.6598300000000001,1.77983,1.6987450000000002,1.8187449999999998,1.73766,1.85766,1.776575,1.896575,1.81549,1.93549,1.854405,1.974405,1.8933200000000001,2.01332,1.9322350000000001,2.052235,1.9711500000000002,2.09115
2028,1.754,1.706,1.546,0.048,0.208,1.546,1.706,1.585475,1.7454749999999999,1.6249500000000001,1.78495,1.664425,1.824425,1.7039,1.8639,1.7433750000000001,1.903375,1.78285,1.94285,1.822325,1.982325,1.8618000000000001,2.0218,1.901275,2.061275,1.94075,2.10075
2029,1.77,1.71,1.51,0.06,0.26,1.51,1.71,1.548595,1.748595,1.58719,1.78719,1.625785,1.825785,1.66438,1.86438,1.702975,1.902975,1.74157,1.94157,1.780165,1.980165,1.8187600000000002,2.01876,1.857355,2.057355,1.89595,2.09595
2030,1.782,1.716,1.504,0.066,0.278,1.504,1.716,1.543245,1.755245,1.58249,1.79449,1.621735,1.833735,1.66098,1.87298,1.700225,1.912225,1.73947,1.95147,1.778715,1.990715,1.81796,2.02996,1.857205,2.069205,1.89645,2.10845
2031,1.794,1.722,1.498,0.072,0.296,1.498,1.722,1.53727,1.76127,1.57654,1.80054,1.61581,1.83981,1.6550799999999999,1.87908,1.69435,1.91835,1.73362,1.95762,1.7728899999999999,1.99689,1.81216,2.0361599999999997,1.8514300000000001,2.07543,1.8907,2.1147
2032,1.806,1.728,1.492,0.078,0.314,1.492,1.728,1.53266,1.76866,1.57332,1.80932,1.61398,1.84998,1.65464,1.8906399999999999,1.6953,1.9313,1.73596,1.97196,1.7766199999999999,2.01262,1.81728,2.05328,1.8579400000000001,2.09394,1.8986,2.1346
2033,1.818,1.734,1.486,0.0839999999999999,0.3319999999999999,1.486,1.734,1.526965,1.774965,1.56793,1.81593,1.608895,1.856895,1.6498599999999999,1.89786,1.690825,1.938825,1.73179,1.97979,1.772755,2.020755,1.81372,2.06172,1.854685,2.102685,1.89565,2.14365
2034,1.83,1.74,1.48,0.09,0.35,1.48,1.74,1.52215,1.78215,1.5643,1.8243,1.60645,1.86645,1.6486,1.9086,1.69075,1.95075,1.7328999999999999,1.9929,1.77505,2.03505,1.8172,2.0772,1.85935,2.11935,1.9015,2.1615
2035,1.848,1.75,1.48,0.098,0.368,1.48,1.75,1.521795,1.791795,1.56359,1.83359,1.605385,1.875385,1.64718,1.91718,1.688975,1.958975,1.73077,2.00077,1.772565,2.0425649999999997,1.81436,2.08436,1.856155,2.126155,1.89795,2.16795
2036,1.866,1.76,1.48,0.106,0.386,1.48,1.76,1.521385,1.801385,1.56277,1.84277,1.604155,1.884155,1.64554,1.92554,1.686925,1.966925,1.72831,2.00831,1.769695,2.049695,1.81108,2.09108,1.852465,2.132465,1.89385,2.17385
2037,1.884,1.77,1.48,0.114,0.404,1.48,1.77,1.52075,1.81075,1.5614999999999999,1.8515,1.60225,1.89225,1.643,1.933,1.6837499999999999,1.97375,1.7245,2.0145,1.76525,2.05525,1.806,2.096,1.84675,2.13675,1.8875,2.1775
2038,1.902,1.78,1.48,0.122,0.422,1.48,1.78,1.520365,1.820365,1.56073,1.86073,1.601095,1.901095,1.64146,1.94146,1.681825,1.981825,1.7221899999999999,2.02219,1.7625549999999999,2.062555,1.80292,2.10292,1.843285,2.143285,1.88365,2.18365
2039,1.92,1.79,1.48,0.13,0.44,1.48,1.79,1.5211,1.8311,1.5622,1.8722,1.6033,1.9133,1.6444,1.9544000000000001,1.6855,1.9955,1.7266,2.0366,1.7677,2.0777,1.8088,2.1188000000000002,1.8498999999999999,2.1599,1.891,2.201
2040,1.944,1.8,1.478,0.144,0.4659999999999999,1.478,1.8,1.516525,1.838525,1.55505,1.87705,1.593575,1.915575,1.6320999999999999,1.9541,1.670625,1.992625,1.70915,2.0311500000000002,1.7476749999999999,2.069675,1.7862,2.1082,1.824725,2.146725,1.8632499999999999,2.18525
2041,1.968,1.81,1.476,0.158,0.492,1.476,1.81,1.51243,1.84643,1.54886,1.88286,1.58529,1.9192900000000002,1.62172,1.9557200000000001,1.65815,1.99215,1.69458,2.02858,1.73101,2.06501,1.7674400000000001,2.10144,1.8038699999999999,2.13787,1.8403,2.1743
2042,1.992,1.82,1.474,0.172,0.518,1.474,1.82,1.50912,1.85512,1.54424,1.8902400000000001,1.5793599999999999,1.92536,1.61448,1.96048,1.6496,1.9956,1.68472,2.03072,1.71984,2.06584,1.75496,2.10096,1.7900800000000001,2.13608,1.8252,2.1712000000000002
2043,2.016,1.83,1.472,0.186,0.5439999999999999,1.472,1.83,1.50591,1.8639100000000002,1.53982,1.89782,1.57373,1.9317300000000002,1.60764,1.96564,1.64155,1.9995500000000002,1.67546,2.0334600000000003,1.70937,2.06737,1.74328,2.10128,1.77719,2.13519,1.8111,2.1691000000000003
2044,2.04,1.84,1.47,0.2,0.57,1.47,1.84,1.503315,1.873315,1.53663,1.90663,1.569945,1.939945,1.60326,1.97326,1.636575,2.006575,1.6698899999999999,2.03989,1.703205,2.073205,1.73652,2.10652,1.769835,2.139835,1.80315,2.17315
2045,2.062,1.846,1.468,0.216,0.594,1.468,1.846,1.50104,1.87904,1.5340799999999999,1.91208,1.56712,1.9451200000000002,1.60016,1.9781600000000001,1.6332,2.0112,1.66624,2.0442400000000003,1.69928,2.07728,1.73232,2.11032,1.76536,2.14336,1.7984,2.1764
2046,2.084,1.852,1.466,0.232,0.618,1.466,1.852,1.498925,1.8849250000000002,1.53185,1.91785,1.564775,1.9507750000000001,1.5977,1.9837,1.630625,2.016625,1.6635499999999999,2.04955,1.696475,2.082475,1.7294,2.1154,1.762325,2.1483250000000003,1.79525,2.18125
2047,2.106,1.858,1.464,0.248,0.6419999999999999,1.464,1.858,1.49702,1.8910200000000001,1.53004,1.9240400000000002,1.56306,1.95706,1.59608,1.99008,1.6291,2.0231,1.66212,2.05612,1.6951399999999999,2.08914,1.72816,2.12216,1.76118,2.15518,1.7942,2.1882
2048,2.128,1.864,1.462,0.264,0.6659999999999999,1.462,1.864,1.495095,1.8970950000000002,1.52819,1.93019,1.561285,1.9632850000000002,1.59438,1.99638,1.627475,2.029475,1.6605699999999999,2.06257,1.693665,2.0956650000000003,1.72676,2.12876,1.759855,2.161855,1.79295,2.19495
2049,2.15,1.87,1.46,0.28,0.69,1.46,1.87,1.493115,1.9031150000000001,1.52623,1.9362300000000001,1.559345,1.9693450000000001,1.59246,2.00246,1.625575,2.035575,1.65869,2.06869,1.691805,2.101805,1.72492,2.13492,1.758035,2.168035,1.79115,2.20115
